timestamp,level,class,superclass,archetype,lfg_message
2025-02-15 08:47:24,50,guardian,warrior,fighter,50guard lfg xp
2025-02-15 08:51:13,24,coercer,enchanter,mage,24 coercer LFG
2025-02-15 08:59:03,55,swashbuckler,rogue,fighter,55 swash lfg pof instances / HC / exp grind
2025-02-15 09:00:29,48,bruiser,brawler,fighter,48 Bruiser LFG
2025-02-15 09:02:47,30,warlock,sorcerer,mage,30 warlock LFG
2025-02-15 09:03:48,13,paladin,crusader,fighter,pally or swash 13-12 lfg
2025-02-15 09:04:07,55,swashbuckler,rogue,fighter,55 swash lfg pof instances / HC / exp grind
2025-02-15 09:08:25,43,illusionist,enchanter,mage,43 illus lfg
2025-02-15 09:11:53,51,assassin,predator,scout,51 sin LFG
2025-02-15 09:14:06,47,swashbuckler,rogue,fighter,47 swashy lfg
2025-02-15 09:16:46,40,monk,brawler,fighter,40 Monk LFG
2025-02-15 09:18:00,51,assassin,predator,scout,51 sin LFG
2025-02-15 09:18:30,29,warlock,sorcerer,mage,29 warlock lfg
2025-02-15 09:20:12,54,necromancer,summoner,mage,54 necro lfg
2025-02-15 09:20:27,51,assassin,predator,scout,51 sin LFG
2025-02-15 09:25:06,25,coercer,enchanter,mage,25 coercer LFG
2025-02-15 09:25:17,54,necromancer,summoner,mage,54 necro lfg
2025-02-15 09:25:30,50,illusionist,enchanter,mage,lv 50 illu lfg
2025-02-15 09:25:56,50,warlock,sorcerer,mage,50 warlock LFG pst
2025-02-15 09:26:16,52,coercer,enchanter,mage,52 Coecer LFG
2025-02-15 09:28:30,47,illusionist,enchanter,mage,47 illy lfg
2025-02-15 09:29:27,50,guardian,warrior,fighter,50guard lfg xp
2025-02-15 09:31:10,54,necromancer,summoner,mage,54 Necro LFG
2025-02-15 09:31:58,16,bruiser,brawler,fighter,lvl 16 bruiser lfg =)
2025-02-15 09:39:13,47,illusionist,enchanter,mage,47 illy lfg
2025-02-15 09:40:19,54,necromancer,summoner,mage,54 Necro LFG
2025-02-15 09:43:24,55,dirge,bard,scout,55 dirge lfg
2025-02-15 09:43:47,25,coercer,enchanter,mage,25 coercer LFG
2025-02-15 09:47:38,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 09:48:01,51,coercer,enchanter,mage,51 coercer lfg
2025-02-15 09:49:50,52,monk,brawler,fighter,52 Monk LFG
2025-02-15 09:53:58,19,assassin,predator,scout,19 assassin LFG
2025-02-15 09:54:13,34,defiler,druid,priest,34 defiler lfg
2025-02-15 09:56:42,29,dirge,bard,scout,29 dirge lfg
2025-02-15 09:57:00,34,defiler,druid,priest,34 defiler lfg
2025-02-15 09:57:49,52,brigand,rogue,scout,52 Brigand LFG
2025-02-15 09:58:46,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 09:58:54,54,fury,shaman,priest,Fury 54 LFG EXP 
2025-02-15 09:59:24,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 09:59:25,52,necromancer,summoner,mage,52 nec lfg xp
2025-02-15 09:59:30,54,troubador,bard,scout,♫ 54 Troub LFG ♪
2025-02-15 09:59:45,52,defiler,druid,priest,52 defiler lfg
2025-02-15 10:00:46,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 10:00:55,52,shadowknight,crusader,fighter,Level 52 SK LFG
2025-02-15 10:01:16,52,coercer,enchanter,mage,52 coe lfg
2025-02-15 10:01:17,52,necromancer,summoner,mage,52 nec lfg xp
2025-02-15 10:01:25,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 10:01:30,54,fury,shaman,priest,Fury 54 LFG EXP 
2025-02-15 10:01:35,34,defiler,druid,priest,34 defiler lfg
2025-02-15 10:03:35,52,ranger,predator,scout,ranger 52 lfg
2025-02-15 10:04:25,29,dirge,bard,scout,29 dirge lfg
2025-02-15 10:05:41,34,shadowknight,crusader,fighter,34 defiler / 11 coer / 10 sk lfg
2025-02-15 10:07:02,50,dirge,bard,scout,50 Dirge lfg
2025-02-15 10:07:03,25,coercer,enchanter,mage,25 coercer LFG
2025-02-15 10:13:10,34,shadowknight,crusader,fighter,34 defiler / 11 coer / 10 sk lfg
2025-02-15 10:14:29,25,coercer,enchanter,mage,25 coercer LFG
2025-02-15 10:15:44,50,necromancer,summoner,mage,necro 50 lfg
2025-02-15 10:15:59,52,necromancer,summoner,mage,52 nec lfg 
2025-02-15 10:17:25,52,ranger,predator,scout,52 ranger lfg
2025-02-15 10:17:27,50,necromancer,summoner,mage,necro 50 lfg
2025-02-15 10:19:29,50,dirge,bard,scout,50 dirge lfg
2025-02-15 10:20:23,50,necromancer,summoner,mage,necro 50 lfg
2025-02-15 10:21:57,34,shadowknight,crusader,fighter,34 defiler / 11 coer / 10 sk lfg
2025-02-15 10:23:45,19,assassin,predator,scout,19 assassin LFG
2025-02-15 10:24:36,54,inquisitor,cleric,priest,54 inq LFG PoF
2025-02-15 10:25:08,48,assassin,predator,scout,48 assassin lfg
2025-02-15 10:28:54,34,shadowknight,crusader,fighter,34 defiler / 11 coer / 10 sk lfg
2025-02-15 10:30:24,43,illusionist,enchanter,mage,43 illus lfg
2025-02-15 10:30:35,48,assassin,predator,scout,48 assassin lfg
2025-02-15 10:30:45,53,berserker,warrior,fighter,53 zerker lfg
2025-02-15 10:33:20,53,coercer,enchanter,mage,53 coe lfg
2025-02-15 10:33:53,22,ranger,predator,scout,22 Ranger LFG  TS.
2025-02-15 10:37:00,48,warlock,sorcerer,mage,48 Warlock LFG
2025-02-15 10:37:10,43,assassin,predator,scout,43 Sin LFG
